name,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988
TotalAssets,"179,608,000,000","181,775,000,000","172,816,000,000","169,391,000,000","168,864,000,000","164,532,000,000","160,727,000,000","160,695,000,000","160,276,000,000","162,488,000,000","164,694,000,000","170,254,000,000","163,269,000,000","166,641,000,000","164,828,000,000","166,508,000,000","166,905,000,000","163,223,000,000","165,436,000,000","163,494,000,000","162,093,000,000","163,441,000,000","169,036,000,000","170,529,000,000","85,832,000,000","83,682,000,000","83,598,000,000","82,463,000,000","84,664,000,000","81,570,000,000","77,716,000,000","77,465,000,000","72,857,000,000","67,085,000,000","63,007,000,000","62,535,000,000","57,568,000,000","53,118,000,000","51,068,000,000","48,707,000,000","47,172,000,000","45,008,000,000","42,812,000,000","42,001,000,000","34,343,000,000","31,330,000,000","30,123,000,000","29,663,000,000","30,120,000,000","29,094,000,000","28,756,000,000","28,093,000,000","28,169,000,000","26,706,800,000","25,965,500,000","26,650,000,000","24,701,400,000","21,907,000,213","20,798,400,163","20,635,737,064","19,907,399,940","19,090,799,960","18,483,299,681","18,400,000,000","18,379,299,860","17,590,000,000","16,794,300,056","17,220,600,187","17,210,900,105","16,346,800,232","15,923,800,172","15,919,100,363","14,905,099,592","13,118,499,433","13,402,800,534","13,996,500,525","13,823,300,271","13,110,499,730","13,713,599,892","13,081,400,029","12,987,400,063","12,826,400,000","12,558,399,758","13,677,399,618","13,127,699,777","12,310,099,416","12,389,000,000","11,052,399,496","10,568,200,360","10,211,499,850","9,888,200,385","10,035,699,580","9,208,188,657","8,851,504,035","8,637,723,673","8,703,245,283","8,347,213,622","7,589,594,491","7,099,367,926","6,933,049,645","6,672,194,425","6,301,753,901","5,855,072,464","5,909,027,970","5,761,134,713","5,300,808,887","5,176,983,911","4,833,621,643","4,910,470,852","5,170,538,781","5,346,051,340","5,038,394,415","4,922,385,169","1,850,380,623","1,666,534,286","1,481,189,968","1,473,272,657","1,564,112,244","1,663,954,228","1,570,021,200","1,558,752,998","1,591,509,097","1,770,395,193","3,177,705,603","3,106,543,138","2,998,329,754"
	CurrentAssets,"12,147,000,000","10,807,000,000","10,427,000,000","10,294,000,000","8,959,000,000","8,558,000,000","8,162,000,000","7,634,000,000","7,350,000,000","6,424,000,000","6,957,000,000","8,151,000,000","8,825,000,000","8,055,000,000","8,393,000,000","8,382,000,000","8,572,000,000","7,831,000,000","7,984,000,000","7,914,000,000","9,215,000,000","7,793,000,000","9,147,000,000","9,902,000,000","8,410,000,000","6,787,000,000","6,809,000,000","6,910,000,000","7,597,000,000","7,631,000,000","7,793,000,000","7,769,000,000","8,201,000,000","7,315,000,000","7,334,000,000","8,278,000,000","6,950,000,000","6,271,000,000","6,433,000,000","6,632,000,000","6,600,000,000","6,288,000,000","5,085,000,000","5,348,000,000","4,295,000,000","3,781,000,000","3,309,000,000","3,270,000,000","3,761,000,000","3,292,000,000","3,136,000,000","3,006,000,000","3,595,000,000","2,760,300,000","2,716,700,000","3,350,500,000","3,708,900,000","3,931,299,766","3,715,499,695","3,288,756,301","3,264,799,881","3,084,600,020","2,862,700,319","2,874,800,507","3,054,199,674","2,704,000,224","2,455,899,610","2,839,399,813","3,075,599,488","2,498,299,652","1,971,499,939","1,957,100,363","2,349,000,480","1,615,600,353","1,518,100,067","2,211,100,472","2,052,699,987","1,556,700,432","2,301,499,392","1,744,299,985","1,442,000,315","1,647,800,000","1,608,499,773","1,987,799,554","2,281,700,096","1,870,299,826","2,122,800,303","1,734,400,126","1,334,299,640","1,134,600,240","1,095,699,275","1,370,300,130","1,107,204,861","919,148,936","961,718,979","1,147,622,642","1,093,962,848","844,376,435","887,843,598","904,539,007","797,855,611","588,178,428","620,013,803","749,099,972","653,967,384","503,996,592","603,763,294","405,972,426","524,298,967","829,887,583","977,275,915","925,090,616","931,377,975","529,965,398","344,453,270","184,098,186","190,232,022","284,258,211","395,041,322","327,098,142","338,609,113","379,831,133","685,232,263","160,422,225","162,015,055","156,645,192"
		CashCashEquivalentsAndShortTermInvestments,"861,000,000","1,021,000,000","1,045,000,000","413,000,000","286,000,000","451,000,000","374,000,000","465,000,000","452,000,000","657,000,000","462,000,000","799,000,000","648,000,000","815,000,000","708,000,000","702,000,000","518,000,000","643,000,000","457,000,000","610,000,000","480,000,000","745,000,000","2,028,000,000","1,855,000,000","2,117,000,000","1,036,000,000","1,257,000,000","1,735,000,000","1,015,000,000","1,024,000,000","1,209,000,000","1,191,000,000","1,261,000,000","1,088,000,000","1,248,000,000","849,000,000","756,000,000","516,000,000","1,077,000,000","1,346,000,000","1,776,000,000","1,726,000,000","667,000,000","1,094,000,000","420,000,000","584,000,000","303,000,000","351,000,000","242,000,000","470,000,000","409,000,000","421,000,000","327,000,000","404,600,000","354,400,000","335,100,000","541,700,000","266,700,021","307,799,715","238,658,574","166,699,772","170,900,328","256,500,531","237,799,815","139,699,441","198,000,447","148,600,112","181,400,047","153,900,454","160,399,535","136,399,902","160,500,605","105,500,360","170,599,723","104,400,267","108,600,472","104,100,219","84,600,216","227,399,703","42,400,470","40,700,346","246,000,000","155,599,333","58,500,637","74,000,318","51,000,473","130,800,303","89,000,473","67,000,600","51,400,661","22,999,852","47,400,319","53,530,093","80,557,594","57,054,855","70,641,509","124,922,601","59,678,653","35,131,560","38,865,248","51,322,373","5,247,894","1,656,315","71,032,955","13,841,305","25,384,718","31,769,839","21,015,746","44,848,588","119,994,563","12,343,947","21,613,639","51,051,467","334,532,872","225,311,093","50,293,490","51,788,232","131,747,829","254,672,600","170,719,541","151,678,657","176,239,743","625,606,656","5,451,804","25,361,899","21,951,801"
			CashAndCashEquivalents,"861,000,000","1,021,000,000","1,045,000,000","413,000,000","286,000,000","451,000,000","374,000,000","465,000,000","452,000,000","657,000,000","462,000,000","799,000,000","648,000,000","815,000,000","708,000,000","702,000,000","518,000,000","643,000,000","457,000,000","610,000,000","480,000,000","745,000,000","2,028,000,000","1,855,000,000","2,117,000,000","1,036,000,000","1,257,000,000","1,735,000,000","1,015,000,000","1,024,000,000","1,209,000,000","1,191,000,000","1,261,000,000","1,088,000,000","1,248,000,000","849,000,000","756,000,000","516,000,000","1,077,000,000","1,346,000,000","1,776,000,000","1,726,000,000","667,000,000","1,094,000,000","420,000,000","584,000,000","303,000,000","351,000,000","242,000,000","470,000,000","409,000,000","421,000,000","327,000,000","404,600,000","354,400,000","335,100,000","541,700,000","266,700,021","307,799,715","238,658,574","166,699,772","170,900,328","256,500,531","237,799,815","139,699,441","198,000,447","148,600,112","181,400,047","153,900,454","160,399,535","136,399,902","160,500,605","105,500,360","170,599,723","104,400,267","108,600,472","104,100,219","84,600,216","227,399,703","42,400,470","40,700,346","246,000,000","155,599,333","58,500,637","74,000,318","51,000,473","130,800,303","89,000,473","67,000,600","51,400,661","22,999,852","47,400,319","53,530,093","80,557,594","57,054,855","70,641,509","124,922,601","59,678,653","35,131,560","38,865,248","51,322,373","5,247,894","1,656,315","71,032,955","13,841,305","25,384,718","31,769,839","21,015,746","44,848,588","119,994,563","12,343,947","21,613,639","51,051,467","334,532,872","225,311,093","50,293,490","51,788,232","131,747,829","254,672,600","170,719,541","151,678,657","176,239,743","625,606,656","5,451,804","25,361,899","21,951,801"
		Receivables,"7,366,000,000","7,404,000,000","7,793,000,000","8,628,000,000","6,181,000,000","6,548,000,000","6,223,000,000","6,257,000,000","5,001,000,000","4,364,000,000","5,499,000,000","6,612,000,000","6,523,000,000","5,922,000,000","6,342,000,000","6,578,000,000","6,098,000,000","5,743,000,000","6,157,000,000","6,319,000,000","7,100,000,000","5,239,000,000","5,770,000,000","6,667,000,000","4,405,000,000","4,384,000,000","4,533,000,000","4,474,000,000","3,882,000,000","5,048,000,000","5,314,000,000","5,478,000,000","4,262,000,000","4,730,000,000","4,823,000,000","6,350,000,000","4,339,000,000","4,486,000,000","4,426,000,000","4,560,000,000","3,344,000,000","3,659,000,000","3,678,000,000","3,677,000,000","3,136,000,000","2,435,000,000","2,334,000,000","2,374,000,000","2,706,000,000","2,024,000,000","2,122,000,000","2,208,000,000","2,484,000,000","1,559,100,000","1,761,300,000","2,534,600,000","2,322,500,000","2,534,699,808","2,767,200,285","2,693,138,566","2,388,699,970","2,046,699,791","2,059,199,787","2,334,100,554","2,045,599,953","1,595,900,302","1,709,899,610","2,027,300,327","1,900,300,035","1,295,399,535","1,232,799,804","1,293,400,242","1,451,899,448","994,699,509","1,192,900,600","1,449,500,262","1,138,799,433","955,899,514","1,796,600,027","1,297,000,147","817,500,787","961,500,000","1,092,000,303","1,282,100,064","1,419,100,605","1,175,300,615","1,651,600,605","1,173,000,158","747,500,000","803,199,579","944,099,452","987,900,536","678,530,093","639,178,283","824,435,318","765,735,849","611,300,310","558,224,943","771,130,384","623,971,631","436,597,570","464,300,511","608,695,652","473,968,430","361,107,304","371,976,069","278,838,287","248,105,327","424,912,899","394,994,571","576,939,262","713,652,839","261,759,823","124,982,699","43,950,225","46,824,973","35,636,457","44,041,777","36,745,073","153,759,820","184,532,374","200,856,225","57,083,430","137,455,052","119,745,223","112,741,589"
			AccountsReceivable,"5,822,000,000","7,404,000,000","7,793,000,000","8,628,000,000","4,977,000,000","6,548,000,000","6,223,000,000","6,257,000,000","3,989,000,000","4,364,000,000","5,499,000,000","6,612,000,000","5,233,000,000","5,922,000,000","6,342,000,000","6,578,000,000","4,790,000,000","5,743,000,000","6,157,000,000","6,319,000,000","5,372,000,000","5,239,000,000","5,770,000,000","6,667,000,000","1,086,000,000","4,384,000,000","4,533,000,000","4,474,000,000","1,086,000,000","5,048,000,000","5,314,000,000","5,478,000,000","1,409,000,000","4,730,000,000","4,823,000,000","6,350,000,000","1,280,000,000","4,486,000,000","4,426,000,000","4,560,000,000","689,000,000",,,,"3,136,000,000",,,,"2,706,000,000",,"2,122,000,000","2,208,000,000","2,484,000,000","1,559,100,000","1,761,300,000","2,534,600,000","2,322,500,000","2,534,699,808","2,767,200,285","2,693,138,566","2,388,699,970","2,046,699,791","2,059,199,787","2,334,100,554","2,045,599,953","1,595,900,302","1,709,899,610","2,027,300,327","1,900,300,035","1,295,399,535","1,232,799,804","1,293,400,242","1,451,899,448","994,699,509","1,192,900,600","1,449,500,262","1,138,799,433","955,899,514","1,796,600,027","1,297,000,147","817,500,787","961,500,000","1,092,000,303","1,282,100,064","1,419,100,605","1,175,300,615","1,651,600,605","1,173,000,158",,,,,,,,,,,,,,,,,,"371,976,069",,"248,105,327","424,912,899","394,994,571",,,,,,,,,,,,,,,,
			TaxesReceivable,"323,000,000",,,,"407,000,000",,,,"374,000,000",,,,,,,,,,,,,,,,"222,000,000",,,,"175,000,000",,,,"522,000,000",,,,"200,000,000",,,,"123,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"1,313,000,000",,,,"710,000,000",,,,"638,000,000",,,,"1,290,000,000",,,,"1,308,000,000",,,,"1,728,000,000",,,,"3,143,000,000",,,,"2,666,000,000",,,,"2,373,000,000",,,,"2,897,000,000",,,,"2,581,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,"236,000,000","248,000,000","220,000,000","107,000,000","170,000,000","115,000,000","30,000,000","66,000,000","31,000,000","38,000,000","38,000,000","69,000,000","89,000,000","85,000,000","92,000,000","79,000,000","75,000,000","57,000,000","48,000,000","47,000,000","65,000,000","36,000,000","40,000,000","14,000,000","11,000,000","7,000,000","6,000,000","7,000,000","5,000,000","14,000,000","86,000,000","241,000,000","161,000,000","122,000,000","66,000,000","65,000,000","15,000,000","18,000,000","12,000,000","12,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,"-92,000,000",,,,"87,000,000",,,,,,,,,,,,,,,,,,,,"-46,000,000",,,,"-45,000,000",,,,"-42,000,000",,,,"-38,000,000",,,,"-49,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"2,255,000,000","2,346,000,000","1,546,000,000","1,212,000,000","1,670,000,000","1,495,000,000","1,480,000,000","853,000,000","1,536,000,000","1,368,000,000","961,000,000","699,000,000","1,299,000,000","1,261,000,000","1,284,000,000","1,047,000,000","1,339,000,000","1,362,000,000","1,205,000,000","872,000,000","1,528,000,000","1,707,000,000","1,249,000,000","1,205,000,000","1,233,000,000","1,273,000,000","1,002,000,000","694,000,000","1,111,000,000","1,491,000,000","1,202,000,000","1,041,000,000","1,148,000,000","1,458,000,000","1,250,000,000","1,050,000,000","1,115,000,000","1,239,000,000","906,000,000","698,000,000","779,000,000","877,000,000","712,000,000","554,000,000","739,000,000","762,000,000","672,000,000","545,000,000","813,000,000","798,000,000","605,000,000","377,000,000","784,000,000","796,600,000","601,000,000","480,800,000","844,700,000","1,129,899,936","640,499,695","356,959,161","709,400,139","866,999,901","547,000,000","302,900,138","868,900,280","910,099,475","597,399,888","630,699,440","1,021,400,163","1,042,500,581","602,300,233","503,199,516","791,599,472","450,299,861","220,800,534","652,999,738","809,800,335","516,199,352","277,499,662","404,899,368","583,800,755","253,700,000","163,500,530","524,499,681","665,600,127","644,000,316","340,399,395","472,399,496","519,800,540","280,000,000","128,599,970","335,000,725","375,144,676","199,266,324","80,082,136","311,245,283","357,739,938","226,472,839","81,581,655","241,702,128","309,935,668","118,768,126","9,661,836","204,098,588","279,018,775","106,635,805","293,018,816","136,851,353","50,641,946","303,427,648",,"152,637,938","152,600,996",,,,,,,"2,618,780","2,398,082","2,735,165","2,542,177","17,515,369","16,907,933","21,951,801"
			RawMaterials,,,,,"1,577,000,000",,,,"82,000,000",,,,"61,000,000",,,,"81,000,000",,,,"89,000,000",,,,"5,000,000",,,,"7,000,000",,,,"470,000,000",,,,"588,000,000",,,,"331,000,000",,,,"488,000,000",,,,"537,000,000",,,,"492,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"2,143,000,000",,,,"1,577,000,000",,,,"1,454,000,000",,,,"1,238,000,000",,,,"1,258,000,000",,,,"1,439,000,000",,,,"1,228,000,000",,,,"1,104,000,000",,,,"678,000,000",,,,"527,000,000",,,,"448,000,000",,,,"251,000,000",,,,"276,000,000",,,,"292,000,000",,,,"844,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInventories,"112,000,000",,,,"93,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,"168,000,000",,,,"181,000,000",,,,"103,000,000",,,,"123,000,000",,,,"132,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,"46,000,000","36,000,000","43,000,000","41,000,000","34,000,000","64,000,000","85,000,000","59,000,000","38,000,000","35,000,000","35,000,000","41,000,000","28,000,000","57,000,000","59,000,000","55,000,000","119,000,000","83,000,000","165,000,000","113,000,000","107,000,000","102,000,000","100,000,000","175,000,000","68,000,000","63,000,000","17,000,000","7,000,000","34,000,000","68,000,000","68,000,000","59,000,000","47,000,000","39,000,000","13,000,000","29,000,000","34,000,000","30,000,000","24,000,000","28,000,000","19,000,000","26,000,000","28,000,000","23,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"367,000,000",,,,"245,000,000",,,,"120,000,000",,,,"167,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"367,000,000",,,,"245,000,000",,,,"120,000,000",,,,"167,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,"31,000,000",,,,,,,"0","0","0","0","24,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		HedgingAssetsCurrent,"1,015,000,000",,,,"529,000,000",,,,"323,000,000",,,,"327,000,000",,,,"498,000,000",,,,,,,,"353,000,000",,,,"791,000,000",,,,"568,000,000",,,,"385,000,000",,,,"383,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"604,000,000",,,,"259,000,000",,,,,,,,,,,,,,,,,,,,"66,000,000",,,,"216,000,000",,,,"567,000,000",,,,"54,000,000",,,,,,,,,,,,,,,,,,,,,"1",,,,,"1",,,,,"-1","-1,164","1",,,"1,200","1,260","-1,334",,,"1,350",,,"-1,573","186,600,000","197,399,607","122,699,172","122,999,046","-1,578",,"-1","-1,500",,"1","-1,450","-1","146,735","146,670","1","-1",,"-1",,,"-138,103",,"-1",,,"136,352",,"3,895,534","11,470,801","387,992,706","37,186,200","465,965,689","70,449,827","75,191,952","86,979,723","102,807,333","108,468,605","103,623,649","1",,,,,,"1"
	TotalNonCurrentAssets,"167,461,000,000","170,968,000,000","162,389,000,000","159,097,000,000","159,905,000,000","155,974,000,000","152,565,000,000","153,061,000,000","152,938,000,000","156,064,000,000","157,737,000,000","162,103,000,000","154,444,000,000","158,586,000,000","156,435,000,000","158,126,000,000","158,333,000,000","155,392,000,000","157,452,000,000","155,580,000,000","152,878,000,000","155,648,000,000","159,889,000,000","160,627,000,000","77,422,000,000","76,895,000,000","76,789,000,000","75,553,000,000","77,067,000,000","73,939,000,000","69,923,000,000","69,696,000,000","64,656,000,000","59,770,000,000","55,673,000,000","54,257,000,000","50,618,000,000","46,847,000,000","44,635,000,000","42,075,000,000","40,572,000,000","38,720,000,000","37,727,000,000","36,653,000,000","30,048,000,000","27,549,000,000","26,814,000,000","26,393,000,000","26,359,000,000","25,802,000,000","25,620,000,000","25,087,000,000","24,574,000,000","23,946,500,000","23,248,800,000","23,299,500,000","20,992,500,000","17,975,700,447","17,082,900,468","17,346,980,763","16,642,600,060","16,006,199,940","15,620,599,362","15,525,199,493","15,325,100,186","14,885,999,776","14,338,400,446","14,381,200,374","14,135,300,616","13,848,500,581","13,952,300,233","13,962,000,000","12,556,099,112","11,502,899,080","11,884,700,467","11,785,400,052","11,770,600,283","11,553,799,298","11,412,100,500","11,337,100,044","11,545,399,748","11,178,600,000","10,949,899,985","11,689,600,064","10,845,999,682","10,439,799,590","10,266,199,697","9,317,999,369","9,233,900,720","9,076,899,609","8,792,501,110","8,665,399,449","8,100,983,796","7,932,355,099","7,676,004,693","7,555,622,642","7,253,250,774","6,745,218,057","6,211,524,328","6,028,510,638","5,874,338,813","5,713,575,473","5,235,058,661","5,159,927,998","5,107,167,329","4,796,812,295","4,573,220,616","4,427,649,218","4,386,171,886","4,340,651,198","4,368,775,424","4,113,303,799","3,991,007,194","1,320,415,225","1,322,081,017","1,297,091,782","1,283,040,636","1,279,854,033","1,268,912,905","1,242,923,058","1,220,143,885","1,211,677,964","1,085,162,930","3,017,283,378","2,944,528,083","2,841,684,562"
		NetPPE,"104,460,000,000","105,251,000,000","101,290,000,000","99,346,000,000","100,067,000,000","98,097,000,000","95,273,000,000","95,141,000,000","94,571,000,000","95,990,000,000","96,302,000,000","98,483,000,000","93,723,000,000","94,379,000,000","93,202,000,000","93,875,000,000","94,540,000,000","90,679,000,000","94,058,000,000","92,521,000,000","90,711,000,000","96,305,000,000","99,462,000,000","99,518,000,000","64,284,000,000","63,698,000,000","64,111,000,000","63,251,000,000","64,434,000,000","61,995,000,000","58,538,000,000","57,861,000,000","53,830,000,000","49,819,000,000","46,433,000,000","45,323,000,000","42,279,000,000","38,889,000,000","36,807,000,000","34,955,000,000","33,318,000,000","31,339,000,000","30,665,000,000","29,550,000,000","22,623,000,000","21,218,000,000","20,609,000,000","20,441,000,000","20,332,000,000","19,919,000,000","19,479,000,000","18,926,000,000","18,850,000,000","18,086,400,000","17,598,100,000","17,588,600,000","16,389,600,000","14,440,899,510","13,645,000,000","13,173,541,817","12,597,599,563","12,036,999,901","11,656,000,000","11,547,200,185","11,264,699,441","10,723,100,481","10,590,000,000","10,581,500,467","10,466,599,605","10,265,199,768","10,328,000,491","10,317,800,484","9,066,499,880","8,435,799,420","8,549,699,800","8,522,000,262","8,530,900,425","8,070,099,946","7,980,699,716","6,933,099,750","6,947,599,937","6,940,800,000","6,877,399,606","7,834,700,446","7,546,800,382","7,884,500,552","7,793,299,546","7,168,800,252","7,160,000,000","7,117,900,511","7,121,900,252","7,144,800,638","6,770,688,657","6,684,079,237","6,639,630,390","6,549,283,019","6,364,241,486","5,917,368,018","5,455,240,335","5,334,751,773","5,215,010,722","5,010,633,890","4,889,993,099","4,838,133,481","4,807,043,991","4,565,651,455","4,377,692,937","4,232,830,262","4,191,295,284","4,153,028,777","4,051,900,687","3,944,959,055","3,837,437,742","1,131,903,114","1,126,952,608","1,118,062,967","1,104,217,408","1,103,938,593","1,113,413,859","1,090,036,164","1,067,985,612","1,059,341,182","1,062,629,998","2,965,201,253","2,889,403,590","2,786,924,362"
			GrossPPE,"134,000,000,000",,,,"126,040,000,000",,,,"117,954,000,000",,,,"113,963,000,000",,,,"112,184,000,000",,,,"105,813,000,000",,,,"78,895,000,000",,,,"77,800,000,000",,,,"64,804,000,000",,,,"52,006,000,000",,,,"41,819,000,000",,,,"28,876,000,000",,,,"25,881,000,000",,,,"23,617,000,000",,,,"21,727,800,000","19,172,899,723","18,376,999,796","17,905,565,271","17,329,599,762","15,936,500,050","15,555,500,531","15,446,699,724","15,164,199,674","14,622,600,872","14,489,500,279","14,481,000,701","14,366,099,547","13,626,399,536","13,689,200,933","13,679,000,000","12,427,699,784","11,386,399,143","11,500,300,200","11,472,599,685","11,481,500,708","10,671,099,406","10,581,699,311","8,994,100,191","9,548,599,307","9,266,800,000","9,203,399,000","10,160,701,083","9,872,800,064","8,125,684,077","8,024,521,936","7,409,755,636","7,389,211,158","9,134,582,206","9,107,840,758","9,090,429,172","8,712,094,907","8,302,127,660","8,256,966,852","8,213,735,849","8,071,207,430","7,464,728,385","6,941,643,392","6,769,078,014","6,660,614,725","6,283,800,580","6,162,456,867","6,114,649,681","6,070,439,907","5,661,691,633","5,474,365,967","5,121,766,449","5,082,773,333","5,043,262,753","4,944,452,237","4,791,918,378","4,669,894,853","1,968,581,315","1,927,190,892","1,910,218,783","1,883,732,855","1,867,497,169","1,859,249,841","1,819,802,968","1,781,654,677","1,757,521,703","1,744,626,763","4,349,843,406","4,125,072,380","2,787,998,091"
				MineralProperties,"89,408,000,000",,,,"84,614,000,000",,,,"77,616,000,000",,,,"76,186,000,000",,,,"99,173,000,000",,,,"95,284,000,000",,,,"69,547,000,000",,,,"67,845,000,000",,,,"53,835,000,000",,,,"42,418,000,000",,,,"35,315,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LandAndImprovements,"3,637,000,000",,,,"3,320,000,000",,,,"2,924,000,000",,,,"2,947,000,000",,,,"2,603,000,000",,,,"2,538,000,000",,,,"2,067,000,000",,,,"2,031,000,000",,,,"1,672,000,000",,,,"1,093,000,000",,,,"952,000,000",,,,"361,000,000",,,,,,,,"223,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"37,028,000,000",,,,"34,331,000,000",,,,"30,057,000,000",,,,"29,287,000,000",,,,"630,000,000",,,,"390,000,000",,,,"315,000,000",,,,,,,,,,,,,,,,,,,,"10,758,000,000",,,,,,,,"11,459,000,000",,,,"6,826,400,000",,,,,,,,,,,,,,,,,,,,"2,796,899,395",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherProperties,"1,611,000,000",,,,"1,507,000,000",,,,"1,595,000,000",,,,"1,486,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,761,000,000",,,,"8,566,000,000",,,,"7,368,000,000",,,,"2,067,200,000",,,,,,,,,,,,,,,,,,,,"8,631,201,854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"2,316,000,000",,,,"2,268,000,000",,,,"5,762,000,000",,,,"4,057,000,000",,,,"9,778,000,000",,,,"7,601,000,000",,,,"6,966,000,000",,,,"7,924,000,000",,,,"9,297,000,000",,,,"8,495,000,000",,,,"5,552,000,000",,,,"3,996,000,000",,,,"4,332,000,000",,,,"4,567,000,000",,,,,,,,,,,,,,,,,,,,,,,,"53,399,459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
